"StichtagDatJahr","HundenameText","GebDatHundJahr","SexHundCd","SexHundLang","SexHundSort","AnzHunde"
2015,"Amun (Aris)",2006,"1","männlich",1,1
2015,"Amun-Zefir",2006,"1","männlich",1,1
2015,"Amy",2005,"2","weiblich",2,2
2015,"Amy",2008,"2","weiblich",2,1
2015,"Amy",2010,"2","weiblich",2,3
2015,"Amy",2012,"2","weiblich",2,1
2015,"Amy",2014,"2","weiblich",2,2
2015,"Amy-Siu-Siu",2010,"2","weiblich",2,1
2015,"Anakin",2008,"1","männlich",1,1
2015,"Ancellotta",2013,"2","weiblich",2,1
2015,"Ando",2008,"1","männlich",1,1
2015,"Andora",2004,"2","weiblich",2,1
2015,"Andra",2002,"2","weiblich",2,1
2015,"Andra",2013,"2","weiblich",2,1
2015,"Andy",2005,"1","männlich",1,1
2015,"Ane",2010,"2","weiblich",2,1
2015,"Angel",2006,"2","weiblich",2,2
2015,"Angel",2008,"1","männlich",1,1
2015,"Angel",2008,"2","weiblich",2,1
2015,"Angel",2009,"1","männlich",1,1
2015,"Angel",2009,"2","weiblich",2,1
2015,"Angel",2010,"1","männlich",1,1
2015,"Angel",2014,"2","weiblich",2,1
2015,"Angel (Koko)",2012,"1","männlich",1,1
2015,"Angel von Matterand",2011,"1","männlich",1,1
2015,"Angelo",2012,"1","männlich",1,1
2015,"Angie",1999,"2","weiblich",2,1
2015,"Angie",2014,"2","weiblich",2,1
2015,"Angle",2009,"2","weiblich",2,1
2015,"Angus (Rowan)",2015,"1","männlich",1,1
2015,"Angélina",2013,"2","weiblich",2,1
2015,"Anik",2013,"2","weiblich",2,1
2015,"Anjo",2014,"1","männlich",1,1
2015,"Anna",2008,"2","weiblich",2,1
2015,"Anna",2013,"2","weiblich",2,1
2015,"Anouk",2014,"2","weiblich",2,1
2015,"Anouk (Quanti)",2013,"2","weiblich",2,1
2015,"Anouk vom Leukergrund",2012,"2","weiblich",2,1
2015,"Antares",2009,"1","männlich",1,1
2015,"Anton",2010,"1","männlich",1,1
2015,"Anton",2011,"1","männlich",1,1
2015,"Antonia",2010,"2","weiblich",2,1
2015,"Anubis",2011,"1","männlich",1,1
2015,"Anuk",2006,"2","weiblich",2,1
2015,"Anya",2004,"2","weiblich",2,1
2015,"Aphra",2001,"2","weiblich",2,1
2015,"Apollo",2001,"1","männlich",1,1
2015,"Apollo",2012,"1","männlich",1,1
2015,"Appalachian's Gosha Ginny",2010,"2","weiblich",2,1
2015,"Aqua",2008,"2","weiblich",2,1
2015,"Aquila",2004,"2","weiblich",2,1
2015,"Ara",2010,"2","weiblich",2,1
2015,"Arabeska",2013,"2","weiblich",2,1
2015,"Aradei",2002,"1","männlich",1,1
2015,"Aragon",2010,"1","männlich",1,1
2015,"Aragon",2013,"1","männlich",1,1
2015,"Aramis",2002,"1","männlich",1,1
2015,"Aramis",2006,"1","männlich",1,1
2015,"Aramis",2008,"1","männlich",1,1
2015,"Aramis",2009,"1","männlich",1,1
2015,"Araya vom Tannzapfenland",2015,"2","weiblich",2,1
2015,"Archibald",2004,"1","männlich",1,1
2015,"Archie",2012,"1","männlich",1,1
2015,"Arco",2000,"1","männlich",1,1
2015,"Arco",2004,"1","männlich",1,1
2015,"Arco",2005,"1","männlich",1,1
2015,"Arco",2007,"1","männlich",1,1
2015,"Ardeshir",2011,"1","männlich",1,1
2015,"Ares",2004,"1","männlich",1,1
2015,"Ares",2007,"1","männlich",1,1
2015,"Ares",2011,"1","männlich",1,1
2015,"Areta",2000,"2","weiblich",2,1
2015,"Areta",2004,"2","weiblich",2,1
2015,"Arezu",2007,"1","männlich",1,1
2015,"Argo",2005,"1","männlich",1,1
2015,"Argo",2007,"1","männlich",1,1
2015,"Argo",2013,"1","männlich",1,1
2015,"Argo vom Buechlisberg",2012,"1","männlich",1,1
2015,"Argos",2001,"1","männlich",1,1
2015,"Argos",2003,"1","männlich",1,1
2015,"Arguitos",2014,"1","männlich",1,1
2015,"Argus",2002,"1","männlich",1,1
2015,"Ari",2006,"2","weiblich",2,1
2015,"Ari",2010,"1","männlich",1,1
2015,"Ari",2013,"1","männlich",1,1
2015,"Ari",2014,"1","männlich",1,1
2015,"Ariel",2003,"1","männlich",1,1
2015,"Ariela Kimbabu",2005,"2","weiblich",2,1
2015,"Arina Luna",2004,"1","männlich",1,1
2015,"Aristo",2010,"1","männlich",1,1
2015,"Arka",2006,"2","weiblich",2,1
2015,"Arkan",2015,"1","männlich",1,1
2015,"Arkas",2011,"1","männlich",1,1
2015,"Arla",2013,"2","weiblich",2,1
2015,"Arlo",2008,"1","männlich",1,1
2015,"Armani",2005,"2","weiblich",2,1
2015,"Armani",2013,"1","männlich",1,1
2015,"Armani",2014,"1","männlich",1,1
2015,"Arni",2012,"1","männlich",1,1
2015,"Aro (Tomba v. Försterhaus)",2015,"1","männlich",1,1
2015,"Aron",2005,"1","männlich",1,1
2015,"Aron",2012,"1","männlich",1,1
2015,"Aron Dehiani",2013,"1","männlich",1,1
2015,"Arrow",2002,"1","männlich",1,2
2015,"Arrow",2012,"1","männlich",1,1
2015,"Artair",2013,"1","männlich",1,1
2015,"Artemis",2010,"2","weiblich",2,1
2015,"Arthur",2005,"1","männlich",1,1
2015,"Arthur",2009,"1","männlich",1,1
2015,"Arthus",2007,"1","männlich",1,1
2015,"Arthus",2009,"1","männlich",1,1
2015,"Arton",2008,"1","männlich",1,1
2015,"Artos",2002,"1","männlich",1,1
2015,"Artu",2012,"1","männlich",1,1
2015,"Artur Mano",1999,"1","männlich",1,1
2015,"Arturo",2013,"1","männlich",1,1
